,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Named Candidate/Partylist
26,Job Manahan,@manahan_job,2025-08-12T09:38:48.000Z,FALSE,The Supreme Court upholds the decision of the Comelec disqualifying a candidate for district representative in Quezon province due to vote-buying. #Halalan2025 ,1,1,4,211,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1955202296427786605,tweet_id:1955202296427786605,
27,Job Manahan,@manahan_job,2025-06-17T08:11:15.000Z,FALSE,"PANOORIN: Pinangunahan ng Comelec ang pagde-delete ng data files ng ballot face, VIS nito sa mga server ng National Printing Office matapos ang #Halalan2025.

Bakit nga ba ito kailangan gawin? Alamin ang ilang detalye sa selfie patrol na ito. ",0,0,2,277,['#Halalan2025'],['@abscbnnews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1934886544114168253,tweet_id:1934886544114168253,
28,popverse #TeamPH,@theTEENstagram,2025-05-17T08:49:50.000Z,FALSE,Senator Bam Aquino   #Halalan2025,0,4,32,1.1K,['#Halalan2025'],['@bamaquino'],"['\\U0001fa77', '\\u2728']",https://pbs.twimg.com/profile_images/1944336880012537856/_0_0ewa0_bigger.jpg,https://x.com/theTEENstagram/status/1923662232405278919,tweet_id:1923662232405278919,Bam Aquino
29,AlterMidya,@altermidya,2025-05-26T07:45:21.000Z,TRUE,"Ilalabas ng International Observers Mission ang kanilang kumpletong ulat hinggil sa #Halalan2025 sa Mayo 27. Batay sa kanilang obserbasyon, ano nga ba ang itsura ng nagdaang eleksyon? 

Panoorin ang panayam namin kay Commissioner Andrea Mann.",0,8,16,938,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1653556776732860416/IHGMelPH_bigger.jpg,https://x.com/altermidya/status/1926907494086979602,tweet_id:1926907494086979602,
30,Detective Mask 名探偵マスク,@DetectiveMask,2025-05-17T22:58:45.000Z,FALSE,Baby Frankie from this 2001 Kiko Pangilinan ad is now a graduate in a US university.#Halalan2025,0,5,17,882,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_bigger.jpg,https://x.com/DetectiveMask/status/1923875867077509411,tweet_id:1923875867077509411,
31,WR Numero,@WR_Numero,2025-05-17T06:44:58.000Z,FALSE,NOW HAPPENING: Prof.  of WR Numero joins ABS-CBN News' Special Coverage of the proclamation of winning Senators in #Halalan2025 — now live!,1,1,10,622,['#Halalan2025'],['@CleveArguelles'],[],https://pbs.twimg.com/profile_images/1943273769960652800/Sg7F31bQ_bigger.jpg,https://x.com/WR_Numero/status/1923630807153074444,tweet_id:1923630807153074444,
32,Nusa,@1nusa2,2025-07-04T13:58:31.000Z,FALSE,"Salut Ama abang² ini ....
Semangat para pejuang pencari rezeki halal dan berkah untuk keluarga.#IndonesiaSwasembadaPangan#halalan2025#محرم_١٤٤٧هـ",0,2,13,457,"['#IndonesiaSwasembadaPangan', '#halalan2025', '#محرم_١٤٤٧هـ']",[],[],https://pbs.twimg.com/profile_images/1934374437161439232/nxfmTKS2_bigger.jpg,https://x.com/1nusa2/status/1941134530611753433,tweet_id:1941134530611753433,
33,"RG Cruz, ABS-CBN News",@RG_Cruz12479,2025-05-26T06:28:38.000Z,FALSE,"Pulse Asia Research bares May 6-9 poll results vs actual election results : From these trends, it appears that the political machinery of both the Marcos administration and the Duterte opposition struggled to sustain or expand support for their respective
candidates. #Halalan2025",0,17,29,6.5K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1520283967542337536/5NSZ5y4L_bigger.jpg,https://x.com/RG_Cruz12479/status/1926888188909412476,tweet_id:1926888188909412476,
34,VoteReportPH,@VoteReportPH,2025-05-16T07:57:24.000Z,FALSE,"It's been 4 days since the day of the 2025 Midterm Elections! Sa mga kababayan nating sumama na nagvolunteer, nag-ulat, at sa lahat ng tumulong para labanan ang dayaan, taos-pusong pasasalamat ang aming handog sa inyo. #VoteReportPH#NLE2025#Halalan2025",0,5,11,205,"['#VoteReportPH', '#NLE2025', '#Halalan2025']",[],"['\\U0001f5f3\\ufe0f', '\\U0001faf6']",https://pbs.twimg.com/profile_images/1380755808338644992/_Y8UnWIh_bigger.jpg,https://x.com/VoteReportPH/status/1923286646633472341,tweet_id:1923286646633472341,
35,The LaSallian,@TheLaSallian,2025-06-23T04:01:48.000Z,FALSE,"NatSit: PDP-Laban filed a petition before the Supreme Court for a manual recount of the #Halalan2025 senatorial votes, citing alleged irregularities, including discrepancies in voter receipts. | via ",1,0,1,512,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1936998096405430626,tweet_id:1936998096405430626,PDP
36,Jesus Falcis,@jesusfalcis,2025-06-30T06:08:55.000Z,TRUE,"Good news: Uupong Congressman na today si Chel Diokno and De Lima.

Good news pa din: Hindi uupo ang Duterte Youth. #Halalan2025#Akbayan",37,927,7.8K,107K,"['#Halalan2025', '#Akbayan']",[],['\\U0001f44a'],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1939566800787947745,tweet_id:1939566800787947745,
37,Paige Javier,@PaigeJavier,2025-05-26T02:43:31.000Z,FALSE,"LOOK: Lawmakers from the Makabayan bloc file House Resolution No. 2291 seeking a probe on the automated election system and other issues during #Halalan2025 

They cited reports from poll watchdogs of alleged technical issues and voter disenfranchisement. ",1,0,0,235,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1946897004023472128/O8i0u-yy_bigger.jpg,https://x.com/PaigeJavier/status/1926831533379252274,tweet_id:1926831533379252274,Makabayan
38,Tinig ng Plaridel,@tinigngplaridel,2025-07-03T07:14:05.000Z,FALSE,"LOOK: Youth-led election watchdog Kabataan Tayo ang Pag-asa holds a forum at UP Diliman today, July 3, on the implications of the #Halalan2025 results, highlighting how rampant red-tagging has undermined Philippine democracy.",1,1,5,349,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1967931825571106819/Jes8Zkp4_bigger.jpg,https://x.com/tinigngplaridel/status/1940670364641907201,tweet_id:1940670364641907201,
39,Juan Ponce Enrile Outlives,@JPEOutlives,2025-05-17T10:14:48.000Z,FALSE,"Juan Ponce Enrile outlives Manny Pacquiao's retirement from professional boxing. After falling short of a Senate return in #Halalan2025, the 46-year-old boxer-turned-politician is instead eyeing a comeback to the ring. Pacquiao placed 18th among the senatorial aspirants.",1,5,44,2.2K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1490699312589774848/Y-kKhFT1_bigger.jpg,https://x.com/JPEOutlives/status/1923683612010131910,tweet_id:1923683612010131910,Manny Pacquiao
40,Jisooonly,@kimjisooqueen03,2025-07-19T13:35:58.000Z,FALSE,Magbabantay tayo ng botohan! #HALALAN2025 #KIMJISOOFORPRESIDENT ay for SDA pala sorry sorry sorry. ,1,1,6,267,"['#HALALAN2025', '#KIMJISOOFORPRESIDENT']",[],"['\\U0001f923', '\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1938426260776247296/0egzYtZX_bigger.jpg,https://x.com/kimjisooqueen03/status/1946564675346596152,tweet_id:1946564675346596152,
41,Agatha Gregorio,@agathamgregorio,2025-05-17T07:14:12.000Z,FALSE,"[As of 2:47 p.m.] The 12 winning-senators in #Halalan2025 are arriving at the Tent City in Manila Hotel, including top-ranked reelectionist Christopher “Bong” Go and and former senate president Vicente “Tito” Sotto III who ranked eighth in votes. ",1,3,1,3.7K,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1837059654461050881/1SuMYsX5_bigger.jpg,https://x.com/agathamgregorio/status/1923638166285901904,tweet_id:1923638166285901904,
42,WR Numero,@WR_Numero,2025-05-16T10:11:07.000Z,FALSE, LOOK: WR Numero Founder and Chair Dr.   and President & CEO  took the stage for ' #Halalan2025 election marathon coverage!,2,0,11,442,['#Halalan2025'],"['@_robingarcia_', '@CleveArguelles', '@ABSCBNNews']",['\\U0001f4f8'],https://pbs.twimg.com/profile_images/1943273769960652800/Sg7F31bQ_bigger.jpg,https://x.com/WR_Numero/status/1923320297345732700,tweet_id:1923320297345732700,
43,Paige Javier,@PaigeJavier,2025-05-19T08:14:43.000Z,FALSE,"Kabataan Party-list first nominee Atty. Renee Co on the suspension of the proclamation of Duterte Youth: ‘DASURV’

She says they welcome the suspension which is the first step and they will remain guarded until the disqualification of the party-list.  #Halalan2025",1,0,3,536,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1946897004023472128/O8i0u-yy_bigger.jpg,https://x.com/PaigeJavier/status/1924378170993868904,tweet_id:1924378170993868904,
44,The LaSallian,@TheLaSallian,2025-05-19T09:13:17.000Z,FALSE,"BREAKING: A total of 52 party-lists were proclaimed by the Commission on Elections today, May 19, following #Halalan2025. Opposition group Akbayan topped the polls, securing three seats in the House of Representatives for the 20th Congress.",1,1,3,1.2K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1924392910167953677,tweet_id:1924392910167953677,
45,ABS-CBN News,@ABSCBNNews,2025-07-28T08:20:55.000Z,TRUE,"Marcos sa resulta ng #Halalan2025: ""Bigo at dismayado ang mga tao sa pamahalaan lalo na sa mga pangunahing serbisyo. Ang leksiyon sa atin ay simple lamang: kailangan pa nating mas lalong galingan, kailangan pa nating mas lalong bilisan.""",0,5,9,3.7K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1949746880449229046,tweet_id:1949746880449229046,
46,Jesus Falcis,@jesusfalcis,2025-07-29T09:56:39.000Z,TRUE,"DDS Senators Imee Marcos, Robin Padilla, and Bong Go each get 3 Committee Chairmanships.

Kiko Pangilinan and Bam Aquino only get 1 each. Kahit sa Majority Bloc, may discrimination and favoritism.

Yan ang Chiz Whiz magic! #Halalan2025",74,436,3.1K,180K,['#Halalan2025'],[],['\\U0001f44a'],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1950133362322002293,tweet_id:1950133362322002293,Imee Marcos
47,The LaSallian,@TheLaSallian,2025-05-27T10:41:31.000Z,FALSE,"NatSit: The International Observer Mission, a people-led election monitoring initiative, has joined calls for a hybrid election system after releasing its full report on #Halalan2025, saying the polls ""did not meet international standards for free and fair elections.""",1,0,1,498,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1927314213879349403,tweet_id:1927314213879349403,
48,The LaSallian,@TheLaSallian,2025-07-02T06:14:33.000Z,FALSE,"HAPPENING NOW: Labor leaders Luke Espiritu, Leody de Guzman, and Sonny Matula, along with DLSU Professor and political analyst Dr. Julio Teehankee, reflect on sustaining progressive movements post-#Halalan2025 in “Beyond the Ballot,” held by DLSU POLISCY and KPKL.",0,1,6,1.5K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1940292993808019522,tweet_id:1940292993808019522,Luke Espiritu
49,The LaSallian,@TheLaSallian,2025-05-19T08:14:05.000Z,FALSE,"BREAKING: Comelec suspended the proclamations of Duterte Youth and Bagong Henerasyon, despite earning enough votes in #Halalan2025 for three and one seat, respectively, pending resolution of their election cases. Only 59 out of 63 party-list seats have been filled.",1,3,13,3K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1924378009953542537,tweet_id:1924378009953542537,
50,The LaSallian,@TheLaSallian,2025-06-28T05:48:39.000Z,FALSE,"HAPPENING NOW: Electoral experts, researchers, and sector advocates discuss #Halalan2025 results and their future implications in ""VoteReal: A Post-Elections Reality Check,"" organized by the USG OVPEA and COSCA, at the sixth floor of the Learning Commons.",0,0,1,466,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1938836923776409782,tweet_id:1938836923776409782,
51,The LaSallian,@TheLaSallian,2025-05-22T01:48:31.000Z,FALSE,"NatSit: President Ferdinand Marcos Jr. has ordered the courtesy resignation of all Cabinet secretaries, with the objective to reform the administration after the results of #Halalan2025.",1,3,0,1.1K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1925368140965585343,tweet_id:1925368140965585343,
52,ABS-CBN News Channel,@ANCALERTS,2025-06-19T15:00:03.000Z,TRUE,"The Office of the House Secretary General will wait for the final ruling of the Commission on Elections en banc on disqualification cases before accepting as duly-elected members the candidates or nominees next in rank during the last midterm polls. #Halalan2025 

READ:",2,4,7,5.8K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414916108289601540/v8USByp8_bigger.jpg,https://x.com/ANCALERTS/status/1935714198824079561,tweet_id:1935714198824079561,
53,ANFREL,@Anfrel,2025-06-06T07:12:23.000Z,FALSE,The #Philippines piloted the internet voting system for Filipino voters abroad during the 2025 #elections to increase voter participation but was met with a dismal 18.12% voter turnout. #Halalan2025 #Eleksyon2025 #PHVote,1,1,2,92,"['#Philippines', '#elections', '#Halalan2025', '#Eleksyon2025', '#PHVote']",[],[],https://pbs.twimg.com/profile_images/1276351821397716996/YV7V3hMo_bigger.jpg,https://x.com/Anfrel/status/1930885466217128275,tweet_id:1930885466217128275,
54,Patrol ng Pilipino,@Patrol_Pilipino,2025-06-04T11:03:43.000Z,TRUE,"Pretty little newsroom… Sentro ng #Halalan2025 coverage ng ABS-CBN News ang tinaguriang ‘war room’. 

Silipin natin ito with   kasama ang mga naging bahagi nito.Video produced with Khengie Hallig & Jedidiah Laudencia",1,16,101,11K,['#Halalan2025'],['@anjo_bagaoisan'],"['\\U0001f3b6', '\\u2764\\ufe0f', '\\U0001f49a', '\\U0001f499']",https://pbs.twimg.com/profile_images/1648292134498471937/tt7J_GW7_bigger.jpg,https://x.com/Patrol_Pilipino/status/1930218906213593297,tweet_id:1930218906213593297,
55,ABS-CBN News,@ABSCBNNews,2025-06-20T04:44:58.000Z,TRUE,"“AKO PO AY PILIPINO.”

Joey Chua Uy, the winner in the congressional race in Manila's 6th District, maintains he is a Filipino citizen after the Comelec ruled to void his certificate of candidacy in #Halalan2025 for alleged misrepresentation.

He said that the people of Manila’s",40,14,25,35K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1935921794642592190,tweet_id:1935921794642592190,
56,Kat Domingo,@_katrinadomingo,2025-05-19T03:42:24.000Z,FALSE,"Malacañang announces additional P1,000 hike for the honoraria of teachers who served as poll workers in #Halalan2025 

DBM-approved allowance:
P13,000 - chair of the electoral board
P12,000 - poll clerk, third member",0,2,8,765,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1901671693984407552/5GxkrDTk_bigger.jpg,https://x.com/_katrinadomingo/status/1924309637819752766,tweet_id:1924309637819752766,
