Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
WR Numero,@WR_Numero,2025-06-02T09:35:42.000Z,FALSE," WATCH OUT: WR Numero President & CEO Cleve V. Arguelles joins The View from Manila with Richard Heydarian to discuss the outcome of #Halalan2025 and the upcoming impeachment trial of VP Sara Duterte 

Watch out for the full episode! ",2,3,9,2.9K,['#Halalan2025'],[],"['\\U0001f3a5', '\\U0001f4cc']",https://pbs.twimg.com/profile_images/1943273769960652800/Sg7F31bQ_bigger.jpg,https://x.com/WR_Numero/status/1929471977988718802,tweet_id:1929471977988718802
Jesus Falcis,@jesusfalcis,2025-07-21T10:52:34.000Z,TRUE,"Avenger’s Assemble ng progressive politics which includes non-politicians like Prof. Cielo Magno and Christian Esguerra!

Kaso, walang Kiko-Bam. Sadge.#Akbayan#Halalan2025",48,91,571,28K,"['#Akbayan', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1947248330011984031,tweet_id:1947248330011984031
EU EOM Philippines 2025,@EUeomPH2025,2025-07-04T05:20:27.000Z,FALSE,"The Final Report includes 21 recommendations that the EU EOM, in line with its mandate, offers for the consideration of Philippines’ political and electoral authorities, political parties, civil society, and the public at large.#Halalan2025 #Eleksyon2025 #Eleksyon",0,1,5,121,"['#Halalan2025', '#Eleksyon2025', '#Eleksyon']",[],[],https://pbs.twimg.com/profile_images/1900236514488897537/2hULzKA1_bigger.jpg,https://x.com/EUeomPH2025/status/1941004156455866869,tweet_id:1941004156455866869
TitoTok #HoldTheLine,@TitoTok88,2025-05-19T03:05:23.000Z,FALSE,"No public info on Duterte Youth’s 2nd & 3rd nominees—rumored PMA/PNPA grads. Were they dismissed from service? Now eyeing politics? Just asking.  #Halalan2025 #DisqualifyDuterteYouth  facebook.com/share/p/12E6QU
…",2,6,17,5.2K,"['#Halalan2025', '#DisqualifyDuterteYouth']",[],['\\U0001f914'],https://pbs.twimg.com/profile_images/1950072015182053376/r4Vy6hfH_bigger.jpg,https://x.com/TitoTok88/status/1924300323168076126,tweet_id:1924300323168076126
کعبۃ اللہ | Makkah,@HolyMakkah01,2025-06-05T16:55:05.000Z,FALSE,Towards Muzdalfa #halalan2025,0,8,50,1.4K,['#halalan2025'],[],[],https://pbs.twimg.com/profile_images/1520679698342236161/MSufd79f_bigger.jpg,https://x.com/HolyMakkah01/status/1930669716969758769,tweet_id:1930669716969758769
EU EOM Philippines 2025,@EUeomPH2025,2025-07-03T10:04:26.000Z,FALSE,"Highlights from the speech of EU EOM Chief Observer Marta Temido. Today, she presented the Final Report of the EU mission, which includes 21 recommendations aimed at enhancing transparency, fostering participation and consolidating the legal framework.#Philippines #Halalan2025",0,1,4,110,"['#Philippines', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/1900236514488897537/2hULzKA1_bigger.jpg,https://x.com/EUeomPH2025/status/1940713236023886204,tweet_id:1940713236023886204
Cleve V. Arguelles,@CleveArguelles,2025-05-17T12:27:18.000Z,TRUE,And that’s a wrap for #Halalan2025. First on air as the voting precincts opened on 12 May morning and signed off as we proclaimed our new Senators-elect today 17 May afternoon. Lots of thank you notes to write in the coming days but for now we rescue the weekend. Maraming,7,1,272,7.1K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1736587454008983553/jMG0b9UQ_bigger.jpg,https://x.com/CleveArguelles/status/1923716956877898060,tweet_id:1923716956877898060
EU EOM Philippines 2025,@EUeomPH2025,2025-07-03T14:08:31.000Z,FALSE,"The Manila Bulletin reports on the press conference of the EU Election Observation Mission.
Chief Observer Marta Temido presented a 106-page report, which includes 21 recommendations to improve future elections in the Philippines.mb.com.ph/2025/07/03/in-
…#Halalan2025",0,1,5,56,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1900236514488897537/2hULzKA1_bigger.jpg,https://x.com/EUeomPH2025/status/1940774660435804204,tweet_id:1940774660435804204
Job Manahan,@manahan_job,2025-05-21T09:50:47.000Z,FALSE,Mainit ang naging diskusyon sa isang press briefing kaugnay sa umano'y pagbabago ng build version ng automated counting machine na ginamit sa #Halalan2025.,1,0,2,191,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1925127121409876278,tweet_id:1925127121409876278
Job Manahan,@manahan_job,2025-07-18T03:45:09.000Z,FALSE,"ONGOING: Comelec holds post-election assessment of the secure electronic transmission services during #Halalan2025. 

Technical staff, executives of poll watchdogs and members of the media are present in the discussion. ",0,1,2,139,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1946053603246182628,tweet_id:1946053603246182628
