Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
lex salle,@f4ggotism,2025-04-28T11:44:41.000Z,True,conclave 2025 is on may 7 and philippine elections is on may 12 we will be voting ,0,156,1.1K,18K,[],[],"['\\U0001f48b', '\\U0001f48b', '\\U0001f48b']",https://pbs.twimg.com/profile_images/1840871488582533123/Lph9MWFT_bigger.jpg,https://x.com/f4ggotism/status/1916820865934598241,tweet_id:1916820865934598241
ABS-CBN News,@ABSCBNNews,2025-04-11T01:24:40.000Z,True,"NOW: Philippine Press Institute holds midterm elections forum, stressing the importance of media in covering #Halalan2025.

Representatives of political parties, media groups are present in the event. | via ",0,3,5,4.2K,['#Halalan2025'],['@manahan_job'],[],https://pbs.twimg.com/profile_images/1414904727674920961/aRgHKXj5_bigger.jpg,https://x.com/ABSCBNNews/status/1910504237974642971,tweet_id:1910504237974642971
PDP Laban,@pdplabanph,2025-04-24T05:56:35.000Z,True,"Kahilingan ni PDP Laban chairman at dating Pangulong Rodrigo Duterte na iboto sa halalan ngayong Mayo ang sampung kandidatong bitbit niya at ng partido.

𝗩𝗢𝗧𝗘 𝗦𝗧𝗥𝗔𝗜𝗚𝗛𝗧 𝗦𝗔 𝗗𝘂𝘁𝗲𝗿𝗧𝗘𝗡 𝗖𝗔𝗡𝗗𝗜𝗗𝗔𝗧𝗘𝗦!
● 10 Bondoc, Jimmy
● 22 Dela Rosa, Bato
● 28 Go, Bong",112,171,504,42K,[],[],[],https://pbs.twimg.com/profile_images/1808767303020052480/Ih4XSt49_bigger.jpg,https://x.com/pdplabanph/status/1915283709697368292,tweet_id:1915283709697368292
Daily Tribune,@tribunephl,2025-03-30T07:32:28.000Z,True,"#Halalan2025: The Philippine National Police (PNP) has recorded 39 suspected election-related incidents nationwide as the country prepares for the 12 May midterm elections.

PNP spokesperson PBGen. Jean Fajardo reported that of these cases, 11 have been validated as",0,0,0,65,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1894256178848206848/BMx_QdUY_bigger.jpg,https://x.com/tribunephl/status/1906248143953645676,tweet_id:1906248143953645676
Daily Tribune,@tribunephl,2025-03-12T07:32:14.000Z,True,"#Halalan2025: The 2025 Philippine midterm elections are fast approaching, and ensuring that every eligible Filipino can cast their vote is a priority. 

Read more at: tribune.net.ph/2025/03/12/gui
…#DailyTribune #midtermelections",0,0,1,109,"['#Halalan2025', '#DailyTribune', '#midtermelections']",[],[],https://pbs.twimg.com/profile_images/1894256178848206848/BMx_QdUY_bigger.jpg,https://x.com/tribunephl/status/1899725104390484382,tweet_id:1899725104390484382
Dito Sa Pilipinas,@ditosapinas1,2025-05-08T07:01:05.000Z,False,"Higit 1.1 milyong pasahero ang inaasahan ng Philippine Ports Authority (PPA) sa paparating na May 12 midterm elections.

MORE:tinyurl.com/ywuaywwu#Halalan2025 #PPA #Transportation #VoteWisely #DitoSaPilipinas",0,0,0,30,"['#Halalan2025', '#PPA', '#Transportation', '#VoteWisely', '#DitoSaPilipinas']",[],[],https://pbs.twimg.com/profile_images/1772576385804169217/fVPtCWDc_bigger.jpg,https://x.com/ditosapinas1/status/1920373371155501274,tweet_id:1920373371155501274
Bulatlat,@bulatlat,2024-08-26T09:10:31.000Z,False,"With the slogan, #TaumbayanSaSenado, progressive coalition Makabayan announced their ten senatorial candidates coming from the marginalized sectors for the 2025 midterm elections, August 26, at the Liwasang Bonifacio.",4,320,547,27K,['#TaumbayanSaSenado'],[],[],https://pbs.twimg.com/profile_images/981054373898862592/h4ftZyU0_bigger.jpg,https://x.com/bulatlat/status/1827997041433493810,tweet_id:1827997041433493810
Daily Tribune,@tribunephl,2025-02-13T20:41:34.000Z,True,"As the 2025 Philippine midterm elections approach, the political landscape continues to shift, with several senatorial candidates announcing their withdrawal from the race. #Halalan2025 #DailyTribuneRead more at: tribune.net.ph/2025/02/13/hal
…",0,0,0,69,"['#Halalan2025', '#DailyTribune']",[],[],https://pbs.twimg.com/profile_images/1894256178848206848/BMx_QdUY_bigger.jpg,https://x.com/tribunephl/status/1890139273422381083,tweet_id:1890139273422381083
Daily Tribune,@tribunephl,2024-10-09T22:42:47.000Z,True,"As the Philippine midterm elections approach, a vibrant and diverse lineup of senatorial candidates has emerged, each vying for a seat in the upper chamber of Congress.#Halalan2025 #DailyTribuneRead more at: tribune.net.ph/2024/10/09/sen
…",0,0,0,104,"['#Halalan2025', '#DailyTribune']",[],[],https://pbs.twimg.com/profile_images/1894256178848206848/BMx_QdUY_bigger.jpg,https://x.com/tribunephl/status/1844146520121352440,tweet_id:1844146520121352440
ANFREL,@Anfrel,2025-01-10T06:01:00.000Z,False,"""Tech giant Meta Platforms, Inc.’s move to do away with fact-checkers on its social media platforms could aid disinformation ahead of midterm #elections in May, analysts said."" #Philippines #Halalan2025 #Eleksyon2025",0,0,2,86,"['#elections', '#Philippines', '#Halalan2025', '#Eleksyon2025']",[],[],https://pbs.twimg.com/profile_images/1276351821397716996/YV7V3hMo_bigger.jpg,https://x.com/Anfrel/status/1877596483559489894,tweet_id:1877596483559489894
